,Link,Text,Label,sources,translated
0,https://t.me/nrpublic/16263,"Україна вважає це подальшою ескалацією Росії, додав Кулеба.",True,t.me/nrpublic,"Ukraine considers this a further escalation of Russia, Kuleba added."
1,https://t.me/nrpublic/16264,Франція закликала всіх співвітчизників негайно залишити територію України,True,t.me/nrpublic,France called on all compatriots to immediately leave the territory of Ukraine
2,https://t.me/nrpublic/16272,Зеленський: Україна не становить загрози для Росії Цього не буде,True,t.me/nrpublic,Zelensky: Ukraine does not pose a threat to Russia This will not happen
3,https://t.me/nrpublic/16290,ВМС України переведено в бойову готовність в Одеському порту,True,t.me/nrpublic,The Navy of Ukraine has been put on alert in Odesa port
4,https://t.me/nrpublic/16291,"На тлі виступу Зеленського CNN повідомляє, що Росія закриває повітряний простір на кордоні з Україною для цивільних літаків. До 18 травня.",True,t.me/nrpublic,"Against the background of Zelensky's speech, CNN reports that Russia is closing the airspace on the border with Ukraine to civilian aircraft. Until May 18."
5,https://t.me/nrpublic/16295,"Екстрене засідання РБ ООН щодо України призначено на 5.30 у Москві, повідомило російське постпредство.",True,t.me/nrpublic,"An emergency meeting of the UN Security Council regarding Ukraine is scheduled for 5:30 in Moscow, the Russian embassy reported."
6,https://t.me/nrpublic/16301,Небо над Україною закрите для цивільної авіації,True,t.me/nrpublic,The sky over Ukraine is closed to civil aviation
7,https://t.me/nrpublic/16315,Білорусь атакує Україну - повідомляє прикордонна служба України,True,t.me/nrpublic,Belarus is attacking Ukraine - reports the border service of Ukraine
8,https://t.me/nrpublic/16316,"Джонсон заявив Зеленському, що сподівається на надання Україною спротиву",True,t.me/nrpublic,Johnson told Zelensky that he hoped Ukraine would resist
9,https://t.me/nrpublic/16317,"У всіх районах Курської області, які межують з Україною, школярів переводять на дистанційне навчання",True,t.me/nrpublic,"In all districts of the Kursk region bordering Ukraine, schoolchildren are transferred to distance learning"
10,https://t.me/nrpublic/16322,CNN: Білоруські війська приєднуються до російських військ у нападі на Україну,True,t.me/nrpublic,CNN: Belarusian troops join Russian troops in attack on Ukraine
11,https://t.me/nrpublic/16326,"Генштаб України повідомляє про завдання ракетно-бомбових ударів по аеропортах у п'яти містах: Бориспіль, Озерний, Кульбакін (Миколаїв), Чугуїв, Краматорськ, Чорнобаївка (Херсон).",True,t.me/nrpublic,"The General Staff of Ukraine reports on the mission of missile and bomb attacks on airports in five cities: Boryspil, Ozerny, Kulbakin (Mykolaiv), Chuguiv, Kramatorsk, Chornobayivka (Kherson)."
12,https://t.me/nrpublic/16327,"У Луганській області України оголошено загальну евакуацію. Пункти збору – на вокзалах Лисичанськ, Рубіжне, Сватів.",True,t.me/nrpublic,"A general evacuation has been announced in the Luhansk region of Ukraine. The collection points are at Lysychansk, Rubizhne, and Svativ railway stations."
13,https://t.me/nrpublic/16328,CNN: танки входять на територію України з боку Білорусії,True,t.me/nrpublic,CNN: tanks enter the territory of Ukraine from the side of Belarus
14,https://t.me/nrpublic/16330,"Повідомляють, що українські ППО підбили російський військовий літак на сході України",True,t.me/nrpublic,It is reported that Ukrainian air defenses shot down a Russian military aircraft in eastern Ukraine
15,https://t.me/nrpublic/16333,"МНС України повідомляє, що окупанти захопили два села — Мілове та Городище у Луганській області.",True,t.me/nrpublic,The Ministry of Emergency Situations of Ukraine reports that the occupiers captured two villages - Milove and Horodyshche in the Luhansk region.
