,title,cluster
4,US research in Ukraine led to an increase in the incidence of tick-borne borreliosis in Ukraine and an increase in the number of ticks in russia,86
22,Russia “has not lost anything” in its invasion of Ukraine.,86
30,“J.D. Vance profits off Russia propaganda.”,86
43,"After Russia invaded Ukraine, Google Maps “opened all military and strategic facilities in Russia.”",86
52,“The Simpsons” predicted Russia’s invasion of Ukraine.,86
85,“Russia has never attacked anyone throughout its history.”,86
96,"Crimea ""was sort of taken away from President Obama. … And he wanted Russia to be out of what was called the G-8. And that was his determination.""",86
98,"""The reason Russia was in Afghanistan was because terrorists were going into Russia.""",86
101,"Says Bernie Sanders was indifferent to Russia's annexation of Crimea because he felt ""they have a lot of Russians anyway.""",86
112,"Russia ""has an economy the size of Italy.""",86
116,"Says she made an ""accurate prediction"" that if Barack Obama were elected it would encourage Russia to invade Ukraine.",86
121,"""A few months ago when you were asked what's the biggest geopolitical threat facing America, you said Russia.""",86
123,Says Romney called Russia our No. 1 enemy.,86
124,"""Obama tells Russia that he'll turn over America's defense system to them if re-elected.""",86
129,"""I never said Russia did not meddle in the election.""",86
131,"Says Barack Obama found out about Russia ""in August. Now, the election was in November. That's a lot of time. He did nothing about it.""",86
132,"""If Russia, or some other entity, was hacking, why did the White House wait so long to act? Why did they only complain after Hillary lost?""",86
133,"Says the Obama administration invited ""Russia into Syria.""",86
138,"A 2022 CNN report said, “Russia deploys two nuke bombers in US backyard, Venezuela.”",86
164,Russia is targeting U.S. biological weapons labs in Ukraine invasion.,86
415,"Says the California congressional district he represents ""has a higher GDP than Russia.""",86
448,"Russia’s interference in the 2016 election amounted to ""a couple of Facebook ads.""",86
478,"""James Clapper Flips On Live TV, Admits Obama Behind Entire Russia Witch Hunt! (Video)""",86
481,"Says Deputy Attorney General Rod Rosenstein announced in February that ""the Russia collusion investigation is over.""",86
527,"""Breitbart leaks names of four Dems being charged in Mueller’s Russia probe.""",86
559,"""Law firm @POTUS used to show he has no ties to Russia was named Russia Law Firm of the Year for their extensive ties to Russia. Unreal.""",86
561,"Says James Clapper ""and virtually everyone else"" said ""there is no collusion"" in the Russia investigation findings.",86
575,"""The NSA and FBI tell Congress that Russia did not influence electoral process.""",86
595,"""There's been no conclusive or specific report to say"" Russia was trying to muddy the election.",86
694,"""Russia has more diversity in its governmental representation than we do in Texas.""",86
741,Says U.S. is giving seven Alaskan islands to Russia.,86
815,Gen. Mark Milley has drawn scrutiny for suggesting that winter may present Ukraine an opportunity to explore a peace deal with Russia.,86
845,Russia’s occupation of eastern Ukraine has given it control over some of the most mineral-rich lands in Europe. ,86
878,Experts anticipated a Moscow-led cyber assault; instead unprecedented attacks by hacktivists and criminals have wreaked havoc in Russia ,86
893,"The 41-year-old mother's mental health had deteriorated after her native Russia invaded Ukraine, her husband told police.",86
1012,"Fighting around the eastern towns of Bakhmut and Soledar, where Russia just launched a major assault, has been “really savage,” a U.S. defense official said. ",86
1026,The TMC 2022 roundups: Russia and Ukraine,86
1033,"As Russia’s attacks continue, democracies are holding the line in Ukraine.",86
1044,"Ukraine's military said 13 Iranian-made Shahed drones were shot down. Suedi Murekezi, a U.S. air force veteran, was freed in a prisoner swap with Russia, an official said. ",86
1096,The two-day gathering comes about a year after the G-7 promised to impose “massive consequences” on Russia if it invaded Ukraine.,86
1131,"This year's Nobel Peace Prize was given to human rights activists from Ukraine, Russia and Belarus, and was awarded on Putin's 70th birthday. ",86
1133,"The triumphalism of the moment might be premature, but the changed mind-set on Russia runs deep.",86
1192,"Russia is beefing up security in Crimea amid reports of drone attacks, while both Moscow and Kyiv have voiced support for IAEA inspectors to visit Zaporizhzhia.",86
