,title,cluster
372,Merriam-Webster recently changed its definition of “anti-vaxxer” to include people who oppose laws that mandate vaccination.,38
6700,Ukraine’s emergency wartime payment is dependent on a citizen’s COVID-19 vaccination status,38
6713,"""Bill Gates' nefarious plan"" - the upcoming COVID-19 vaccination will not only be mandatory,...",38
6761,"2.5 million victims after vaccination against COVID-19, - WHO statistics",38
6775,3 deaths prevented by vaccination equals 2 deaths,38
6780,366% increase in miscarriages in UK due to COVID-19 vaccination,38
6840,"A link has been found between the ""mining"" of schools in Ukraine and the vaccination of adolescents",38
6842,A man dies right under the vaccination point in Brovary,38
6901,Acquired Immunity is Better Than COVID-19 Vaccination,38
6930,"After vaccination against COVID-19, only “golden half a billion” will remain on Earth",38
6931,"After vaccination against Covid-19, the world's population will be reduced to 1 billion",38
6932,"After vaccination against coronavirus, the world's population will be divided into two camps",38
6951,All vaccination centers closed in Romania,38
6990,An earthquake destroyed a church in Crete where there was a vaccination center,38
7024,Anti-Vaccination Protesters Block Port in Italy,38
7035,Argentine Footballer Sergio Aguero Retires Due to Vaccination Effects,38
7075,Australian Politician Received Bell's Palsy Due to COVID-19 Vaccination,38
7077,Australian politician Mark McGowan faked a COVID-19 vaccination,38
7124,"Being ill with measles is “good for the body”, vaccination is “not needed”",38
7186,Blood Under Microscope Proves Vaccination Makes Everyone Sick,38
7284,"COVID-19 is the 'Spanish flu', pandemic caused by 'vaccination', injections 'kill'",38
7294,COVID-19 vaccination document contains code for 5G,38
7295,COVID-19 vaccination videos are fake,38
7349,Children found big heart problems after vaccination against COVID-19,38
7483,Coronavirus proves the futility of vaccination,38
7526,Croatia bans COVID-19 vaccination,38
7533,Czech Republic suspends COVID-19 vaccination after 5 deaths,38
7549,Death of a child after vaccination￼,38
7623,Doctors in Germany refuse to carry out mass vaccination against COVID-19,38
7666,Dr. Ryan Cole's Claims About the Harm of COVID-19 Vaccination,38
7787,Even more people will die from vaccination - Ministry of Health of Ukraine,38
7826,Fake Syringe in Video Proves Fake COVID-19 Vaccination,38
7828,"Fakes by U.S. Senator Ron Johnson about ""forced"" vaccination against COVID-19",38
7851,Fauci said people have no right to their own decision about vaccination,38
7860,First Vaccination Victim Died in Chernihiv,38
7870,"Food card in Ukraine will be available only with vaccination and registration in ""Diy""",38
7903,Four British Airways Pilots Died Due to COVID-19 Vaccination,38
7932,G7 countries are in favor of compulsory vaccination and against healthy lifestyles,38
7956,German doctor commits suicide over 'vaccination lie',38
8011,Henry Kissinger Speaks About Vaccination at Eugenics Council,38
8082,"Improving hygiene and nutrition, not vaccination, has had the effect of reducing mortality and morbidity...",38
8111,"In Germany, 1254 people died as a result of vaccination",38
8114,"In Germany, farmers protest against vaccination passports and the government",38
8164,"In Taiwan, more people died from vaccination than from COVID-19",38
8175,"In Ukraine, an epidemic of strokes due to protective masks and vaccination against COVID-19",38
8207,"In the US, child mortality has fallen sharply due to the end of routine vaccination",38
8307,Israel mimics COVID-19 vaccination with syringes without needles,38
8309,Israel registers 483% more miscarriages after COVID-19 vaccination,38
8341,Japan bans measles vaccination,38
8634,Mayor of London Fake His Vaccination,38
8637,Medical Journal The Lancet Destroys Criminal Vaccination Policy,38
8655,"Mike Tyson called the pandemic a ""plandemia"" and spoke out against vaccination",38
8663,Millions of Italians Protest New Compulsory Vaccination Law,38
8871,New cases of COVID-19 are most in the leading countries in vaccination,38
9127,Police applaud demonstrators in France against 'forced vaccination',38
9165,Post-Vaccination Detox After Vaccination Against COVID-19,38
9219,Protests in Poland against compulsory vaccination,38
9341,"Re-vaccination against COVID-19 will be carried out, because the residual doses need to be put somewhere",38
9382,Robert De Niro's banned film about the dangers of vaccination,38
9925,School in Germany canceled classes due to protest of parents against vaccination and testing of children...,38
9929,Scientist Ilya Mechnikov spoke out against vaccination,38
9962,Singer Celine Dion paralyzed due to COVID-19 vaccination,38
9968,Slovenian nurse exposes conspiracy behind COVID-19 vaccination,38
10139,The EU knew about the pandemic and prepared vaccination passports in advance,38
10165,The FDA has revealed a list of serious diseases that may arise due to vaccination against COVID-19,38
10218,The Mystery of Maduro’s Vaccination Drive for Venezuela,38
10303,The US Institute of Medicine said about the dangers of vaccination,38
10542,The consequences of mRNA vaccination will be impossible to cure - it changes the human genetic code,38
10621,The purpose of vaccination is to cause collective AIDS,38
10630,The role of vaccination in the development of diabetes has been proven,38
10676,The world is being prepared for a dangerous anti-coronavirus vaccination,38
10809,Truck column of Canadian truckers who protested against vaccination entered the Guinness Book of Records,38
10867,UK will not introduce COVID-19 vaccination passports,38
10870,UN banned vaccination in 1997,38
10904,US Vice President Kamala Harris Fake COVID-19 Vaccination,38
10905,US admits COVID-19 vaccination causes facial paralysis,38
11326,Ukraine will make mandatory vaccination against COVID-19 for children aged 5-12,38
11590,Ukrainians massively seek medical help after vaccination against COVID-19,38
11665,Vaccination against COVID-19 - experimental gene therapy,38
11666,Vaccination against COVID-19 causes Parkinson's disease,38
11667,Vaccination against COVID-19 exacerbates the course of coronavirus disease,38
11668,Vaccination against COVID-19 increases the risk of fetal death,38
11669,Vaccination against COVID-19 is especially dangerous during puberty,38
11670,Vaccination against COVID-19 is the cause of the emergence of new strains of the virus,38
11671,"Vaccination against COVID-19 killed over 10,000 Europeans in 4 months",38
11672,Vaccination against COVID-19 led to an increase in deaths in nursing homes abroad,38
11673,Vaccination against coronavirus threatens infertility and is dangerous for children,38
11674,Vaccination and anti-epidemic measures are useless - there are no outbreaks of COVID-19 in the “republican” states of the USA,38
11675,Vaccination causes cancer in humans,38
11676,"Vaccination depletes a person's immunity and makes him a ""client of the pharmaceutical mafia""",38
11677,Vaccination during a pandemic provokes mutations of more infectious variants of the virus,38
11678,"Vaccination is ineffective and dangerous, and the COVID-19 pandemic was planned by the World Bank - Stakhov's interview...",38
11679,Vaccination is “grafting cancerous DNA”,38
11680,"Vaccination, not Spanish flu killed 50 million people",38
11709,Video of Zelensky's vaccination against COVID-19 staged,38
11715,Viktor Lyashko did not rule out that elderly Ukrainians could die after vaccination,38
11999,iPhone 13 Users Must Verify Vaccination Status Before Unlocking Phone,38
