,title,cluster
21,"""Russia is becoming the first country to break ties with the Antarctic Treaty.""",87
175,"“The former Miss Universe-Ukraine, Anastasiia Lenna, turned in her high heels for some combat boots to fight for her country.”",87
243,“In every other major industrial country in the world … inflation is higher.”,87
350,"Photos show “Ukrainian Christians pray outdoors, in the snow, for their country in this phase of war danger.”",87
399,“We’ve tested more than every country combined.”,87
407,"""Vice President Biden threatened a foreign country and forced them to fire a prosecutor who was investigating a company,"" that paid his son Hunter.",87
429,"""When my father became commander in chief of this country, we got out of all international business.""",87
539,"Just 6 percent of Americans say Russia is the country’s most important issue, yet the story receives ""75 percent of the coverage"" in the media.",87
579,"Says Sen. John McCain was ""caught making highly illegal phone call to foreign country.""",87
583,"""Thirty years ago we were the most college-educated country on the globe. Today we are No. 11.""",87
610,"""If Texas were a country our economy would rank # 10...in the WORLD.""",87
617,"""Almost every country on Earth sees America as stronger and more respected today than they did eight years ago when I took office.""",87
642,"""Today in America, we have more people in jail than any other country on Earth.""",87
657,"""We are the only major country on Earth that doesn't guarantee health care to all people as a right.""",87
676,"""We live in the most incarcerated country in the world.""",87
771,"Under Hosni Mubarak's rule, ""Egypt received more American dollars than any country besides Israel.""",87
822,"Businessman Oleg Tinkov, who publicly criticized Russia's invasion in February, said he “can’t and won’t be associated with a fascist country.” ",87
880,"Muslims join the war effort as fighters or volunteers: ""We’re the minority here, but we’re a part of this country. We must do something.""",87
881,"The country is often seen as a quirk of geography and history, though it also became more worryingly known as a murky hub for organized crime and people smuggling.",87
892,"Ukraine's president has called for global protests in solidarity with his country, and demonstrators have taken to the streets in many nations to protest the Russian invasion.",87
899,"Thousands of IT professionals are fleeing the country, creating a brain drain that may never be reversed.",87
925,"The country's defense industry, long driven by persistent threats from the North, sees new opportunities to sell globally because of the Ukraine war. ",87
929,Poland is a member of NATO. A strike on the country could thus mark a pivotal moment in the Russia-Ukraine war — depending on what actually happened.,87
1024,Air raid sirens sounded in Kyiv a day after explosions rippled across the country in one of the fiercest attacks by Russia in recent weeks,87
1028,"A Ukrainian drone was shot down near Russia's Engels airfield, deep within the country, killing three people, Moscow officials said. ",87
1082,"Ukrainian officials accused Russia of launching a fresh volley of strikes against targets across the country, including in the capital.",87
1200,"Some parts of the country are suffering the daily brutality of war, while in other places, life feels relatively peaceful.",87
1268,"Ukraine’s wins off the battlefield stood in sobering contrast to developments in the country, where Russian troops have made further advances. ",87
1323,"In a letter circulated to colleagues and posted on social media, Boris Bondarev, counsellor to the Russian UN mission in Geneva, says he's never been ""so ashamed"" of his country.",87
1369,American officials say they are rushing equipment to Ukraine and resuming diplomatic activity in the country.,87
1385,"Ukraine's president noted the irony of Moscow refocusing attacks on his country's east, where many Russian speakers live. ",87
1504,Russia's invasion of Ukraine has drawn international condemnation. But at least one country has stood by Moscow and its leader.,87
1509,"A petition calling for an end to the fighting rocketed around Russia's technology community after the country invaded Ukraine on Thursday. More than 10,000 people have signed it.",87
1550,Ukrainian women are performing a variety of crucial roles in response to our country’s urgent situation — including on the front lines.,87
1581,"Thousands of Russians fled to Kazakhstan to avoid being sent to fight in Ukraine, but tighter visa rules will make it harder to enter and remain in the country. ",87
1656,"Fighting continued as two top Biden officials traveled to Kyiv to visit the Ukrainian president. European leaders visited Ukraine weeks ago to witness firsthand evidence of atrocities committed by Russian soldiers but until Sunday, top U.S. officials had not visited the country since the invasion.",87
1668,"As battles tilt toward full-scale military confrontation on open terrain, Ukrainian officials are again calling for Western alliances to step up weapons supplies to help the country strengthen its position on the battlefield.",87
1710,"Taiwan's leaders are at pains to point to the differences between their country and Ukraine, but residents still fear a Chinese invasion.",87
1716,"As we started driving from Kyiv, we saw warplanes in the sky and it smelled like burning. “The war is already here. Is this my country?”",87
1730,"As the second month of the war in Ukraine came to a close, Ukrainians across the country were praying. Some were in Orthodox churches. Others were in synagogues or mosques. Many were forced to worship underground, in shelters away from Russian military bombardment.",87
1760,"The country will need large investments and support, but progress won’t be possible or enough without security.",87
1783,"A 19-year-old says she is ready to volunteer to fight for her country, dismissing old assumptions about guilt and militarism.",87
1821,The Ukrainian Premier League announced the suspension of the country's football championship,87
1857,"There are no American diplomats left in Ukraine, and there are no plans to return them to the country yet, reports CNN.",87
1996,"From 12:00 p.m. on February 26, the Slovakian authorities are introducing a state of emergency in the country in connection with the influx of refugees from Ukraine.",87
2018,Armenia was the only country in the Council of Europe to join the Russian delegation in voting against the decision to expel Russia from the organization because of their invasion of Ukraine,87
2148,OnlyFans supported Ukraine and repainted its logo in the colors of the flag. The country's logo is displayed every time the website pages are updated.,87
2165,All mobile operators of Ukraine have banned calls from Russian SIM cards on the territory of the country,87
2192,"In a conversation with Sholtz, Zelensky stated the need to close the airspace over Ukraine and called for speeding up work on the country's admission to the EU",87
2290,"In the Czech Republic, due to the influx of refugees from Ukraine, a state of emergency has been introduced. It will last 30 days with the possibility of further extension. The country's government emphasized that this ""will not affect Czech citizens.""",87
2324,The Czech Republic plans to pay 200 euros per month to refugees from Ukraine. Refugees will be able to receive payments within three months of their arrival in the country,87
2355,CERN (European Organization for Nuclear Research) terminates the status of an observer country for Russia due to the situation in Ukraine,87
2431,Pope Francis wrote a tweet in Ukrainian in support of Ukraine. He called for specific efforts and prayers to help the country and urged its citizens not to get used to violence.,87
2457,"Skabeeva on Ukraine: ""It is impossible to capture such a large European country in a month""",87
2480,The Diet of Latvia announced May 9 as the day of remembrance for those killed in Ukraine in the country - Delfi portal,87
2571,"The Ukrainian Council banned the activities of pro-Russian parties on the territory of the country. 330 deputies voted for it. On the footage, Zelensky visited the Rada for the first time since February 24.",87
2621,President of Ukraine Zelenskyy signed the law banning pro-Russian parties in the country,87
2630,Ukraine won at Eurovision 2022. The country was represented by Kalush Orchestra with the song Stefania,87
2663,The Verkhovna Rada of Ukraine approved a bill banning the use of the symbols Z and V in the country,87
2707,"The government of Ukraine supported the bill on the legalization of medical cannabis, the country's health minister Viktor Lyashko said.",87
2715,"50 WTO members signed a joint statement in support of Ukraine, promising to promote exports from the country - US trade representative Ty",87
