,title,cluster
163,"Russia unveiled a nuclear weapon, ""Satan 2,"" that is ""capable of destroying everything breathing in the world.""",1
169,"Russia has ""tremendous numbers of nuclear warheads — 1,800, by the way — where they expanded, and we didn't.""",1
173,"""Ukraine was a nuclear-armed state. They gave away their nuclear arms with the understanding that we would protect them.""",1
227,“U.S. is testing new most deadly nuclear bomb from B-1B Lancer.”,1
322,“NEW: Biden Admin. instructs Americans to social distance and wear masks in the event of a Nuclear Fallout.”,1
387,“Israel dropped a tactical nuclear weapon on the port of Beirut.”,1
597,"""The @nytimes states today that DJT believes ‘more countries should acquire nuclear weapons.’ How dishonest are they. I never said this!""",1
649,"Under the Nuclear Nonproliferation Treaty ""enrichment has been limited to basically the weapons states.""",1
654,"""Obama keeps talking about getting rid of all nuclear weapons. He’s already significantly reduced our capabilities there.""",1
730,"Says Chuck Hagel has called for ""an end to our nuclear program.""",1
735,"""Pakistan has 100 nuclear warheads and they’re rushing to build a lot more. They’ll have more than Great Britain sometime in the relatively near future.""",1
753,"China is ""trying to develop nuclear capability.""",1
788,"""Our own National Security Agency says that (Iran's) nuclear ambitions are advancing, and at the same time ... we are slashing our own nuclear arsenal.""",1
790,"""The nuclear test conducted in our nation this time is the Earth's 2,054th nuclear test. The five permanent members of the U.N. Security Council have conducted 99.99 percent of the total nuclear tests.""",1
797,"Obama worked with ""Sen. Dick Lugar, a Republican, to help lock down loose nuclear weapons.""",1
921,The Bulletin of the Atomic Scientists set the symbolic Doomsday Clock for the first time since the Ukraine war revived fears of nuclear disaster.,1
931,"Diplomacy can’t stop the Ukraine war, alas. But it can avert a nuclear catastrophe.",1
955,The Ukraine war’s creepiest byproduct is its demonstration of the utility of nuclear weapons. Russia’s invasion shows that a nuclear power can engage in vicious regional aggression without paying the most severe price.,1
970,The risk of nuclear escalation in Ukraine means our support cannot be unlimited.,1
1000,"Russia’s civilian nuclear power conglomerate has been quietly supplying the Russian arms industry, aiding the onslaught on Ukraine, documents show. 
",1
1050,U.S. Defense Secretary Austin said nuclear powers should avoid escalating conflicts after Russia's Putin raised the possibility of a preemptive military strike,1
1073,"The head of the U.N. nuclear watchdog said whoever is shelling the area of the Zaporizhzhia nuclear power plant is ""gambling with many people’s lives."" ",1
1074,"The International Atomic Energy Agency reported ""what appeared to be renewed shelling"" at and around the Zaporizhzhia nuclear power plant in eastern Ukraine. ",1
1105,"Russia began routine annual exercises involving large-scale drills of its strategic nuclear forces, even as tensions flare with the West over Ukraine.",1
1169,The report by the International Atomic Energy Agency highlighted the prospect that radioactive material could be released from the Zaporizhizhia nuclear power plant.,1
1170,Some experts from the International Atomic Energy Agency left the Zaporizhzhia nuclear power plant. ,1
1175,The expert mission led by International Atomic Energy Agency chief Rafael Mariano Grossi reached the Zaporizhzhia nuclear plant after delays.,1
1177,"More strikes were reported overnight near the Zaporizhzhia nuclear plant, where IAEA inspectors are due to arrive later this week to assess the damage.",1
1181,"Shelling at the plant may result in hydrogen leakage, sputtering of radioactive substances and fires, Ukraine’s nuclear power agency warned in a statement Saturday. ",1
1182,"Electricity has been restored to the Zaporizhzhia nuclear power plant, narrowly averting a “radiation accident,” says Ukrainian President Volodymyr Zelensky.",1
1184,"Russia has been accused of using the Zaporizhzhia plant, which is still functioning and producing power, as a staging ground for war.",1
1194,"Both Russia and Ukraine are warning of a possible attack on the Zaporizhzhia nuclear power plant, currently under Russian control, in southeastern Ukraine. ",1
1198,"The latest round of shelling near the Zaporizhzhia nuclear plant killed one employee and injured two others, Ukraine’s nuclear power regulator said.",1
1201,Ukrainian President Volodymyr Zelensky wants Europe to halt visas for Russians. Fighting near the Zaporizhzhia nuclear power plant raises alarm.,1
1202,The U.N. chief called for military forces to leave the Zaporizhzhia nuclear plant site. The Brave Commander ship is carrying Ukrainian grain to the Horn of Africa.,1
1203,Satellite images appear to show damaged planes at the Saki Air Base in Crimea. The U.N. Security Council could meet over the Zaporizhzhia nuclear plant.,1
1205,"Ukrainian President Volodymyr Zelensky accused Russia of ""nuclear blackmail"" following attacks on Europe's largest nuclear power plant.",1
1207,Ukrainian President Volodymyr Zelensky demanded a forceful reaction from international organizations after the attack at Europe’s largest nuclear power plant. ,1
1209,"Russia and Ukraine are accusing one another of shelling the Zaporizhzhia nuclear power plant, as fighting continues in the south on Saturday. ",1
1384,European nations are weighing climate benefits against the perils of putting nuclear power plants in harm’s way. ,1
1388,Russia warned it could deploy more nuclear weapons in the region if Finland and Sweden join NATO. ,1
1499,Chernobyl survivor and Ukrainian historian Serhii Plokhy says the danger of a nuclear accident might be greater than we think.,1
1571,"Both Russia and Ukraine have warned of a possible “false flag” attack on the nuclear plant, which is held by Russian forces.",1
2033,"Ukraine cannot guarantee nuclear safety at the Chernobyl nuclear power plant, says the letter of the Ukrainian ambassador to the UN",1
2260,Ukraine informed the IAEA that no operations related to nuclear materials have been carried out at the Chornobyl NPP since February 24,1
2303,"The World Nuclear Association (WNA) supports the creation of safe zones around nuclear power plants in Ukraine, reports ""Energoatom"".",1
2368,"Ukraine completely refuses to purchase Russian nuclear fuel - ""Energoatom"".",1
2545,Simonyan and Solovyov agree on a nuclear strike on the world if Russia loses in Ukraine,1
2586,Volodin: Russia will not be able to feel safe until a decision is made on the non-nuclear and non-aligned status of Ukraine,1
2770,Ukraine terminates the validity of two agreements with Russia in the field of nuclear security,1
2998,The use of nuclear weapons in Ukraine will be an attack on NATO - Senior US Senator Lindsey Graham,1
3091,"Previously, Musk offered to leave Crimea to Russia to prevent a nuclear war.",1
3095,"Borrell said that a nuclear attack against Ukraine would not trigger a nuclear, but a powerful military response",1
3145,"We do not need a nuclear attack on Ukraine, there is no sense - neither political nor military - Putin",1
3155,"Biden: If Putin does not plan to use nuclear weapons in Ukraine, why is he talking about them",1
3214,"Biden and Xi agree that a nuclear war should never be fought, and oppose the threat of using nuclear weapons in Ukraine.",1
3812,"Nuclear plant loses power line as Moscow, West energy row escalates, article with video",1
3816,"UN inspectors near Ukrainian nuclear plant on mission to avert an accident, article with video",1
3826,"Zelenskiy says crisis averted as Russian-held Ukraine nuclear plant regains power, article with video",1
3837,"Fresh shelling renews blame game over Ukraine nuclear plant, article with video",1
3847,"Shells hit power lines at Ukraine nuclear plant, fighting in east, article with gallery",1
4398,"U.S. deflects Putin’s nuclear alert as another effort at escalation.. Both countries have various levels of alert, and it was unclear how Putin’s wording would be implemented by Russian nuclear forces.",1
4415,"Putin Declares a Nuclear Alert, and Biden Seeks De-escalation. When the Russian leader ordered his nuclear forces into “special combat readiness,” the U.S. could have gone on high alert. Instead, the administration tried not to inflame him.",1
4468,"Diplomats walk out of Lavrov’s speech at the U.N. in Geneva.. Sergey Lavrov accused Ukraine of seeking to acquire nuclear weapons, an unsubstantiated claim that Moscow has used as justification for its invasion.",1
4547,Putin Is Brandishing the Nuclear Option. How Serious Is the Threat?. The Russian president has ordered his nuclear forces into a higher state of alert — the first time the Kremlin has done so since 1991.,1
4638,The Battle for a Nuclear Plant. The fighting in Ukraine came as the Kremlin stepped up moves to stifle dissent in Russia.,1
4642,"Combat at Ukraine Nuclear Plant Adds Radioactive Dangers to Russian Invasion. While Zaporizhzhia appeared secure on Friday, Russia’s seizure of the vast energy production site and potential targeting of another nuclear plant created risks of an accident.",1
4646,"Russians Seize Europe’s Biggest Nuclear Plant and Gain in the South as More Ukrainians Flee. The Russian military advance in Ukraine sowed more destruction and chaos, pointing to a worsening conflict, as the Kremlin also moved to restrict how it’s reported at home.",1
4667,How to Stop a Nuclear War. It’s often better to constrain yourself than to limit your enemy’s choices.,1
4821,"Evgeny Maslin, Russian General Who Secured Nuclear Arsenal, Dies at 84. He persuaded Ukraine and other post-Soviet states to give up their weapons, then worked with the U.S. to safeguard and dismantle thousands of them.",1
4913,Are We Facing Nuclear War?. Answering your questions about the threat of attack.,1
5055,"As Russia Digs In, What’s the Risk of Nuclear War? ‘It’s Not Zero.’. A series of shifts in Russian statements about using nuclear weapons has led some analysts to believe that the Kremlin sees a nuclear exchange as a viable strategy.",1
5197,The Smaller Bombs That Could Turn Ukraine Into a Nuclear War Zone. Military experts say a new generation of nuclear weapons has raised the risk that Mr. Putin might introduce less destructive atomic arms into the battlefields in and around Ukraine.,1
5733,"Inside a Nuclear War Bunker Built to Save Canada’s Leaders. Amid renewed tensions with Russia, tourists are flocking to a decommissioned nuclear fallout shelter that Canada built to preserve its government during a nuclear war.",1
6126,Turning Sci-fi Into Reality. Scientists announced a nuclear fusion breakthrough.,1
6306,A Ukrainian nuclear power plant caught on fire during the Russian invasion in March 2022.,1
6623,Russian nuclear bombers land in South Africa amid Ukraine conflict,1
7568,"Denying Moscow’s Rhetoric, Lavrov Pins Nuclear Threat on West",1
7690,EU accepts depleted uranium shells to Ukraine but threatens new sanctions for the deployment of nuclear weapons to Belarus,1
7760,Europe has 200 nuclear stockpiles that threaten Russia and Belarus,1
7952,German Air Force General Says NATO Prepares to Use Nuclear Weapons in Ukraine,1
8042,How Russia lied about the Zaporozhye nuclear power plant at the UN Security Council,1
8066,IAEA president warns of nuclear catastrophe after Kyiv shells Zaporizhzhia,1
8481,Kyiv regime stores Western-supplied ammo in nuclear plants,1
8510,Large-scale accident at one of the main nuclear power plants in Ukraine,1
8540,Lithuania exposed itself to Russian nuclear strike,1
8811,NATO nuclear exercises 'move the world towards war',1
8814,NATO planned to unleash WWIII with the use of nuclear weapons against Russia,1
8927,Nuclear Race Defines Russia's Military Doctrine,1
9263,Putin spokesman beats around nuclear 'no first use' bush,1
9289,Putin’s Patently Bogus Claim About the Zaporizhzhia Nuclear Plant,1
9503,Russia does not threaten anyone with nuclear weapons,1
9524,Russia has never threatened anyone with nuclear weapons,1
9527,Russia has not attacked the Zaporizhzhia nuclear power plant,1
9587,"Russia is not threatening to use nuclear weapons, but the West is preparing a nuclear attack against Russia",1
9592,Russia is “saving the world from a nuclear catastrophe”,1
9733,Russian Newspaper Falsely Claims U.S. Pressed Bulgaria to Quit the Belene Nuclear Power Plant,1
9852,"Russians Fire at Will From Europe’s Biggest Nuclear Plant, Deny it at UN",1
9870,Russia’s Medvedev Anti-Historically Predicts Nuclear War,1
10199,The Kyiv regime actions around the Zaporizhzhia NPP is nuclear terrorism,1
10235,The Pentagon admitted that the Ukrainian military shelled the Zaporozhye nuclear power plant,1
10419,The West and Ukraine are Bringing a Nuclear Catastrophe to the World,1
10420,The West and its puppet Zelensky are igniting a nuclear war,1
10459,The West is pushing Ukraine towards a nuclear catastrophe,1
10520,The attack on the South Ukrainian nuclear power plant is a provocation of the “Kyiv regime”,1
10532,The collapse of Nazi regime in Ukraine sounds better than nuclear craters in Western capitals,1
10772,Those Nuclear Threats from Moscow? U.K. Is Not Making Them Up,1
10861,UK delivery of depleted uranium tank shells will lead to a nuclear catastrophe,1
10863,UK is pushing Ukraine to fight Russia promising assistance with nuclear strike,1
10910,US and NATO keep tensions high around Zaporizhzhia nuclear plant,1
10991,"Ukraine ""shelled"" the Zaporozhye nuclear power plant",1
11001,Ukraine Uses Nuclear Power Plants as Weapons Depots,1
11012,Ukraine asked NATO for preemptive nuclear strikes against Russia,1
11032,Ukraine conducted dangerous experiments on Zaporizhzhia nuclear power plant,1
11048,Ukraine deliberately targets the most vulnerable points of the Zaporizhzhia nuclear plant,1
11091,Ukraine has accumulated huge reserves of uranium and plutonium at the Zaporozhye nuclear power plant to create a nuclear ...,1
11149,"Ukraine is bombing Zaporizhizhia nuclear power plant, afraid of the conclusions of the IAEA",1
11232,Ukraine never had nuclear weapons,1
11269,Ukraine shells nuclear plant to deploy international peacekeeping forces,1
11274,Ukraine stores Western weapons in nuclear power plants,1
11285,Ukraine turns nuclear power plants into military facilities,1
11296,"Ukraine violates the laws of war, stores weapons in nuclear plants",1
11315,Ukraine was preparing to create its own nuclear weapons,1
11350,Ukraine's attack on Zaporizhzhia plant is nuclear terrorism,1
11449,Ukrainian authorities want to provoke a nuclear war in Europe,1
11475,Ukrainian forces want to destroy Zaporizhzhya nuclear power plant,1
11487,Ukrainian militants are shelling the nuclear station in Zaporizhzhia,1
11578,Ukrainians carried out the arson of Zaporizhya nuclear plant,1
11765,Washington and the Kyiv regime's actions pose a threat of nuclear catastrophe,1
11788,West 'threatens' Russia with 'nuclear strike',1
11826,Western leaders' nuclear rhetoric is becoming increasingly ferocious,1
11981,Zelenskyy is pushing the world towards a nuclear war,1
12050,“Ukraine will get nuclear weapons” and “USA will invade Crimea” – three Russian media fakes about...,1
